timestamp,method_name,selection_strategy,evolution_type,dataset_name,current_sequence,seed,model_name,n_val_groups,n_test_groups,n_trials,train_error,val_error,test_error
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90, 70]",4,mlp,1,1,30,0.17781847736814832,0.17734739979772493,0.17717591027980886
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90, 70, 30]",4,mlp,1,1,30,0.20375276782162824,0.203959717202947,0.2040219741184852
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90, 70, 30, 50]",4,mlp,1,1,30,0.033490546826216994,0.03397841567048401,0.03463402394721456
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,[10],7,mlp,1,1,30,0.1779728658051474,0.17797871683922242,0.17797579019188636
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90]",7,mlp,1,1,30,0.18889196234549535,0.18831161097898078,0.18859661183433687
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90, 70]",7,mlp,1,1,30,0.13979990006448761,0.13931832918117976,0.13958495124019632
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90, 70, 30]",7,mlp,1,1,30,0.18289053004991326,0.18312445735285476,0.18301670626419073
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90, 70, 30, 50]",7,mlp,1,1,30,0.03553846954739817,0.03576758750222511,0.03539638224432171
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,[10],9,mlp,1,1,30,0.11953578353878647,0.11959669178834666,0.1196548906077001
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90]",9,mlp,1,1,30,0.2323511860150696,0.23256785869189578,0.2327505812278868
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90, 70]",9,mlp,1,1,30,0.19062234279092796,0.1908754832746234,0.19111838598667924
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90, 70, 30]",9,mlp,1,1,30,0.23508021680903923,0.2352426088901827,0.23537882943426877
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90, 70, 30, 50]",9,mlp,1,1,30,0.034219857647923034,0.034949515127309885,0.03591990183338789
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,[70],4,mlp,1,1,30,0.19540175454376782,0.1950230492220167,0.194868526650166
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90]",4,mlp,1,1,30,0.19513412684301842,0.19542465535578907,0.19554281355391562
